20	107021	0,152242721167401
3E	64580	0,0918682775622615
35	46790	0,0665611134583186
30	42627	0,0606390379009991
38	38954	0,0554140118327707
3D	35787	0,0509087960532773
42	33747	0,0480067940986937
41	30209	0,0429738122774598
3B	26411	0,0375709674620144
32	25807	0,0367117472754612
40	23424	0,0333218106785137
3A	17370	0,0247096931132933
34	16832	0,0239443612252707
3C	16269	0,0231434655878048
2C	15561	0,0221363002035669
3F	14455	0,0205629599281897
43	14056	0,0199953624870726
4F	11770	0,0167434132379656
4B	10547	0,0150036346151931
4C	10470	0,0148940982669074
33	10178	0,0144787136734081
31	9441	0,0134302943398159
37	9008	0,0128143301994557
47	8179	0,0116350362679117
2E	6727	0,00956949370023742
36	6109	0,0086903578139959
2D	6046	0,00860073716539846
39	5827	0,00828919872027404
0A	5656	0,008045942674081
45	4710	0,00670021039514171
48	4601	0,00654515244756836
4E	3257	0,00463324527748971
46	1887	0,00268435180798989
4D	1765	0,00251080071070597
49	1718	0,00244394086175233
65	1452	0,00206554256767426
44	1076	0,00153066377604511
69	846	0,00120347728116558
73	828	0,00117787138156631
61	732	0,00104130658370355
72	683	0,000971601634794434
6E	681	0,00096875653483896
6F	599	0,000852107436664519
74	591	0,000840727036842622
75	570	0,000810853487310143
3F	564	0,00080231818744372
3B	562	0,000799473087488246
6C	518	0,000736880888467814
6D	412	0,000586090590827682
21	394	0,000560484691228415
22	365	0,000519230741874039
64	354	0,000503582692118931
29	343	0,000487934642363823
3A	318	0,000452370892920396
63	312	0,000443835593053973
28	303	0,000431032643254339
76	256	0,000364172794300696
31	229	0,000325763944901794
70	226	0,000321496294968583
27	207	0,000294467845391578
32	161	0,000229030546415672
4A	159	0,000226185446460198
E9	138	0,000196311896927719
71	115	0,000163593247439766
78	99	0,000140832447795972
62	96	0,000136564797862761
66	91	0,000129452047974075
67	90	0,000128029497996338
33	86	0,00012233929808539
68	83	0,000118071648152179
6A	76	0,000108113798308019
38	70	9,95784984415965E-05
34	54	7,6817698797803E-05
7A	45	6,40147489981692E-05
30	45	6,40147489981692E-05
35	43	6,1169649042695E-05
39	39	5,54794491317466E-05
E0	38	5,40568991540095E-05
37	35	4,97892492207982E-05
36	33	4,69441492653241E-05
EA	25	3,55637494434273E-05
E8	23	3,27186494879531E-05
79	22	3,1296099510216E-05
51	21	2,9873549532479E-05
6B	11	1,5648049755108E-05
E7	8	1,13803998218967E-05
EE	8	1,13803998218967E-05
EB	6	8,53529986642256E-06
E2	5	7,11274988868546E-06
F9	4	5,69019991094837E-06
53	3	4,26764993321128E-06
F4	3	4,26764993321128E-06
FB	3	4,26764993321128E-06
3D	3	4,26764993321128E-06
77	2	2,84509995547419E-06
2F	1	1,42254997773709E-06
B0	1	1,42254997773709E-06
09	1	1,42254997773709E-06
